model_key,num_base_ok_ft_fail,top_status,top_primary_cause,details_file,solution_file
ft_ABC_filtered_manual_humaneval_mistral_conc20,35,compile_err:35,status_compile_err:35,epoch1/learning_rate_1/results/ft_ABC_filtered_manual_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_manual_humaneval_mistral_conc20_solutions.json
ft_ABC_Strong_humaneval_mistral_conc3,28,compile_err:24,static_stdin_read:16,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc3_solutions.json
ft_B_then_A_humaneval_mistral_conc3,28,compile_err:25,status_compile_err:17,epoch1/learning_rate_1/results/ft_B_then_A_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_B_then_A_humaneval_mistral_conc3_solutions.json
ft_C_then_A_humaneval_mistral_conc3,27,compile_err:18,static_stdin_read:15,epoch1/learning_rate_1/results/ft_C_then_A_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_C_then_A_humaneval_mistral_conc3_solutions.json
ft_B_humaneval_mistral_conc20,26,ok:13,status_ok:13,epoch1/learning_rate_1/results/ft_B_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_B_humaneval_mistral_conc20_solutions.json
ft_ABC_Strong_humaneval_mistral_conc20,24,compile_err:19,static_stdin_read:15,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json
ft_ABC_filtered_reject_humaneval_mistral_conc20,24,compile_err:19,static_stdin_read:17,epoch1/learning_rate_1/results/ft_ABC_filtered_reject_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_reject_humaneval_mistral_conc20_solutions.json
ft_AB_shuffle_humaneval_mistral_conc15,24,ineq:12,static_stdin_read:11,epoch2/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc15_evaluation_details.json,epoch2/learning_rate_1/results_qwen_lora/solutions/ft_AB_shuffle_humaneval_mistral_conc15_solutions.json
ft_C_then_A_humaneval_mistral_conc20,24,compile_err:15,static_stdin_read:15,epoch1/learning_rate_1/results/ft_C_then_A_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_C_then_A_humaneval_mistral_conc20_solutions.json
ft_B_then_A_humaneval_mistral_conc20,22,compile_err:14,status_compile_err:10,epoch1/learning_rate_1/results/ft_B_then_A_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_B_then_A_humaneval_mistral_conc20_solutions.json
ft_AC_antineighbor_humaneval_mistral_conc20,21,compile_err:10,static_stdin_read:8,epoch1/learning_rate_1/results/ft_AC_antineighbor_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AC_antineighbor_humaneval_mistral_conc20_solutions.json
ft_A_humaneval_mistral_conc3,21,compile_err:13,static_stdin_read:12,epoch2/learning_rate_1/results/ft_A_humaneval_mistral_conc3_evaluation_details.json,epoch2/learning_rate_1/results_qwen_lora/solutions/ft_A_humaneval_mistral_conc3_solutions.json
ft_ABC_filtered_accept_humaneval_mistral_conc20,20,compile_err:12,static_stdin_read:17,epoch1/learning_rate_1/results/ft_ABC_filtered_accept_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_accept_humaneval_mistral_conc20_solutions.json
ft_ABC_source_numericalhub_humaneval_mistral_conc20,20,ok:9,static_stdin_read:19,epoch1/learning_rate_1/results/ft_ABC_source_numericalhub_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_numericalhub_humaneval_mistral_conc20_solutions.json
ft_AC_shuffle_humaneval_mistral_conc20,20,ok:7,static_stdin_read:7,epoch1/learning_rate_1/results/ft_AC_shuffle_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AC_shuffle_humaneval_mistral_conc20_solutions.json
ft_A_half2_humaneval_mistral_conc20,20,compile_err:9,static_stdin_read:16,epoch1/learning_rate_1/results/ft_A_half2_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_A_half2_humaneval_mistral_conc20_solutions.json
ft_AB_antineighbor_humaneval_mistral_conc3,19,compile_err:13,status_compile_err:6,epoch1/learning_rate_1/results/ft_AB_antineighbor_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_AB_antineighbor_humaneval_mistral_conc3_solutions.json
