model_key,task_id,base_status,ft_status,primary_cause,error_labels,details_file,solution_file,ft_stderr_head,ft_stdout_head,expected_head,prompt_head,base_num_lines,ft_num_lines,ft_has_contains,ft_uses_read_stdin,ft_has_labels_in_output,ft_has_timestamp,ft_uses_index_0_loop,ft_uses_c_like_signature,ft_possible_allocate_without_allocatable,ft_uses_assumed_shape,ft_uses_assumed_size
ft_ABC_Strong_humaneval_mistral_conc20,2,ok,compile_err,static_stdin_read,static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that returns the decimal part of a given positive floating point number.,13,14,False,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,18,ok,compile_err,status_compile_err,static_modifies_intent_in_possible|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,"Write a Fortran90 program that finds how many times a given substring can be found in the original string, counting overlapping occurrences.",26,36,True,False,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,20,ok,compile_err,static_c_like_signature,static_c_like_signature|static_modifies_intent_in_possible|static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,"Write a Fortran90 program that from a supplied array of numbers (of length at least two) select and return two that are the closest to each other and return them in order (smaller number, larger number).",37,53,True,True,False,False,False,True,False,True,False
ft_ABC_Strong_humaneval_mistral_conc20,24,ok,ineq,static_stdin_read,static_stdin_read|status_ineq,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,"Write a Fortran90 program that for a given number n, finds the largest number that divides n evenly, smaller than n.",21,21,False,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,25,ok,compile_err,static_possible_zero_indexing,static_modifies_intent_in_possible|static_possible_zero_indexing|static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,"Write a Fortran90 program that returns an array of prime factors of a given integer in the order from smallest to largest, listing each factor as many times as it appears in the factorization.",45,44,True,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,41,ok,compile_err,static_stdin_read,static_modifies_intent_in_possible|static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that computes the number of collisions in a car race given the number of cars in each direction on a straight road.,9,21,True,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,45,ok,compile_err,static_stdin_read,static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that computes the area of a triangle given the base length and height.,14,15,False,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,49,ok,compile_err,static_stdin_read,static_modifies_intent_in_possible|static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that computes 2 raised to the power n modulo p.,22,25,True,True,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,50,ok,runtime_err,status_runtime_err,static_modifies_intent_in_possible|status_runtime_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that takes as input a string encoded with the encode_shift function (which shifts every character by 5 in the alphabet) and returns the decoded string.,32,31,True,False,False,False,False,False,False,False,False
ft_ABC_Strong_humaneval_mistral_conc20,53,ok,compile_err,static_stdin_read,static_modifies_intent_in_possible|static_stdin_read|status_compile_err,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json,,,,Write a Fortran90 program that adds two numbers.,9,21,True,True,False,False,False,False,False,False,False
