model_key,num_cases,compiled_ok,compiled_failed,top_ft_status,top_refined_primary,refined_primary_counts
ft_ABC_filtered_manual_humaneval_mistral_conc20,35,0,35,compile_err:35,empty_code_or_no_program:35,"{""empty_code_or_no_program"": 35}"
ft_ABC_Strong_humaneval_mistral_conc3,28,4,24,compile_err:24,print_parentheses_syntax:5,"{""print_parentheses_syntax"": 5, ""intent_in_modified"": 4, ""empty_code_or_no_program"": 3, ""compiled_but_runtime_error"": 2, ""compiled_but_wrong_answer"": 2, ""undeclared_variable"": 2, ""print_statement_syntax"": 2, ""compile_other"": 2, ""c_like_procedure_signature"": 1, ""missing_iso_fortran_env_kind"": 1, ""invalid_operator_or_expression"": 1, ""assumed_length_character_local"": 1, ""declaration_after_executable"": 1, ""syntax_error_other"": 1}"
ft_B_then_A_humaneval_mistral_conc3,28,3,25,compile_err:25,empty_code_or_no_program:8,"{""empty_code_or_no_program"": 8, ""undeclared_variable"": 7, ""intent_in_modified"": 3, ""compiled_but_wrong_answer"": 2, ""compile_other"": 2, ""invalid_operator_or_expression"": 2, ""bad_contains_or_program_structure"": 2, ""compiled_but_runtime_error"": 1, ""assumed_length_character_local"": 1}"
ft_C_then_A_humaneval_mistral_conc3,27,11,16,compile_err:18,intent_in_modified:10,"{""intent_in_modified"": 10, ""compiled_but_wrong_answer"": 7, ""compiled_ok_other_failure"": 4, ""undeclared_variable"": 3, ""compile_other"": 2, ""syntax_error_other"": 1}"
ft_B_humaneval_mistral_conc20,26,17,9,ok:13,compiled_ok_other_failure:13,"{""compiled_ok_other_failure"": 13, ""syntax_error_other"": 3, ""compiled_but_wrong_answer"": 3, ""compile_other"": 2, ""compiled_but_runtime_error"": 1, ""assumed_length_character_local"": 1, ""type_mismatch_or_intrinsic_misuse"": 1, ""empty_code_or_no_program"": 1, ""intent_in_modified"": 1}"
ft_ABC_Strong_humaneval_mistral_conc20,24,5,19,compile_err:19,print_parentheses_syntax:4,"{""print_parentheses_syntax"": 4, ""intent_in_modified"": 3, ""print_statement_syntax"": 3, ""assumed_length_character_local"": 2, ""compiled_but_wrong_answer"": 2, ""compiled_ok_other_failure"": 2, ""empty_code_or_no_program"": 2, ""c_like_procedure_signature"": 1, ""invalid_operator_or_expression"": 1, ""compiled_but_runtime_error"": 1, ""syntax_error_other"": 1, ""undeclared_variable"": 1, ""type_mismatch_or_intrinsic_misuse"": 1}"
ft_ABC_filtered_reject_humaneval_mistral_conc20,24,5,19,compile_err:19,undeclared_variable:7,"{""undeclared_variable"": 7, ""intent_in_modified"": 6, ""compile_other"": 5, ""compiled_but_wrong_answer"": 4, ""compiled_but_runtime_error"": 1, ""declaration_after_executable"": 1}"
ft_AB_shuffle_humaneval_mistral_conc15,24,13,11,ineq:12,compiled_but_wrong_answer:12,"{""compiled_but_wrong_answer"": 12, ""intent_in_modified"": 8, ""undeclared_variable"": 2, ""compile_other"": 1, ""compiled_but_runtime_error"": 1}"
ft_C_then_A_humaneval_mistral_conc20,24,9,15,compile_err:15,intent_in_modified:9,"{""intent_in_modified"": 9, ""compiled_ok_other_failure"": 4, ""compiled_but_wrong_answer"": 4, ""compile_other"": 3, ""undeclared_variable"": 2, ""compiled_but_runtime_error"": 1, ""syntax_error_other"": 1}"
ft_B_then_A_humaneval_mistral_conc20,22,8,14,compile_err:14,empty_code_or_no_program:5,"{""empty_code_or_no_program"": 5, ""compiled_ok_other_failure"": 5, ""assumed_length_character_local"": 3, ""compiled_but_wrong_answer"": 3, ""intent_in_modified"": 2, ""compile_other"": 2, ""undeclared_variable"": 1, ""bad_contains_or_program_structure"": 1}"
ft_AC_antineighbor_humaneval_mistral_conc20,21,11,10,compile_err:10,compiled_ok_other_failure:6,"{""compiled_ok_other_failure"": 6, ""undeclared_variable"": 3, ""compiled_but_wrong_answer"": 3, ""assumed_length_character_local"": 2, ""compiled_but_runtime_error"": 2, ""intent_in_modified"": 2, ""empty_code_or_no_program"": 1, ""invalid_operator_or_expression"": 1, ""allocatable_or_shape_error"": 1}"
ft_A_humaneval_mistral_conc3,21,8,13,compile_err:13,intent_in_modified:6,"{""intent_in_modified"": 6, ""compiled_but_wrong_answer"": 6, ""undeclared_variable"": 4, ""invalid_operator_or_expression"": 3, ""compiled_but_runtime_error"": 2}"
ft_ABC_filtered_accept_humaneval_mistral_conc20,20,8,12,compile_err:12,intent_in_modified:5,"{""intent_in_modified"": 5, ""compiled_but_wrong_answer"": 5, ""compiled_but_runtime_error"": 3, ""compile_other"": 3, ""undeclared_variable"": 2, ""assumed_length_character_local"": 1, ""invalid_operator_or_expression"": 1}"
ft_ABC_source_numericalhub_humaneval_mistral_conc20,20,11,9,ok:9,compiled_ok_other_failure:9,"{""compiled_ok_other_failure"": 9, ""intent_in_modified"": 3, ""compiled_but_wrong_answer"": 2, ""compile_other"": 2, ""undeclared_variable"": 2, ""invalid_operator_or_expression"": 1, ""syntax_error_other"": 1}"
ft_AC_shuffle_humaneval_mistral_conc20,20,13,7,ok:7,compiled_ok_other_failure:7,"{""compiled_ok_other_failure"": 7, ""compiled_but_wrong_answer"": 6, ""intent_in_modified"": 4, ""invalid_operator_or_expression"": 1, ""compile_other"": 1, ""undeclared_variable"": 1}"
ft_A_half2_humaneval_mistral_conc20,20,11,9,compile_err:9,compiled_ok_other_failure:6,"{""compiled_ok_other_failure"": 6, ""compiled_but_wrong_answer"": 4, ""compile_other"": 2, ""assumed_length_character_local"": 2, ""undeclared_variable"": 2, ""compiled_but_runtime_error"": 1, ""invalid_operator_or_expression"": 1, ""intent_in_modified"": 1, ""print_parentheses_syntax"": 1}"
ft_AB_antineighbor_humaneval_mistral_conc3,19,6,13,compile_err:13,intent_in_modified:5,"{""intent_in_modified"": 5, ""undeclared_variable"": 4, ""compiled_but_runtime_error"": 3, ""compiled_but_wrong_answer"": 3, ""assumed_length_character_local"": 2, ""invalid_operator_or_expression"": 1, ""compile_other"": 1}"
