model_key,task_id,base_status,ft_status,compiled_ok,refined_primary,refined_labels,compile_primary_old,compile_stderr_head,source_file
ft_ABC_Strong_humaneval_mistral_conc20,2,ok,compile_err,False,print_parentheses_syntax,compile_failed|print_parentheses_syntax,c_like_signature_or_invalid_decl,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_2.f90:12:8:\n\n   12 |   print(*,*) result\n      |        1\nError: Syntax error in PRINT statement at (1)\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_2.f90
ft_ABC_Strong_humaneval_mistral_conc20,18,ok,compile_err,False,assumed_length_character_local,compile_failed|assumed_length_character_local,intent_in_modified,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_18.f90:3:25:\n\n    3 |   character(len=*) :: str, sub\n      |                         1\nError: Entity with assumed character length at (1) must be a dummy argument or a PARAMETER\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_18.f90:3:30:\n\n    3 |   character(len=*) :: str, sub\n      |                              1\nError: Entity with assumed character length at (1) must be a dummy argument or a PARAMETER\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_18.f90
ft_ABC_Strong_humaneval_mistral_conc20,20,ok,compile_err,False,c_like_procedure_signature,compile_failed|c_like_procedure_signature,c_like_signature_or_invalid_decl,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_20.f90:21:39:\n\n   21 |   subroutine find_closest_elements(int numbers_len, float[] numbers)\n      |                                       1\nError: Unexpected junk in formal argument list at (1)\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_20.f90:22:38:\n\n   22 |     integer, intent(in) :: numbers_len\n      |                                      1\nError: Unexpected data declaration statement in CONTAINS section at (1)\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_20.f90:23:38:\n\n   23 |     real(dp), intent(in) :: numbers(:)\n      |                                      1\nError: Unexpected data declaration statement in CONTAINS section at (1)\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_20.f90:24:45:\n\n   24 |     real(dp), intent(out) :: result1, result2\n      |                                             1\nError: Unexpected data declaration statement in CONTAINS section at (1)\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong\n...[TRUNCATED]...",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_20.f90
ft_ABC_Strong_humaneval_mistral_conc20,24,ok,ineq,True,compiled_but_wrong_answer,compiled_ok|wrong_answer_or_output_mismatch,compile_ok,,results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_24.f90
ft_ABC_Strong_humaneval_mistral_conc20,25,ok,compile_err,False,intent_in_modified,compile_failed|intent_in_modified,intent_in_modified,results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_25.f90:35:8:\n\n   35 |         n = n / i\n      |        1\nError: Dummy argument ‘n’ with INTENT(IN) in variable definition context (assignment) at (1)\n,results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_25.f90
ft_ABC_Strong_humaneval_mistral_conc20,41,ok,compile_err,False,print_parentheses_syntax,compile_failed|print_parentheses_syntax,c_like_signature_or_invalid_decl,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_41.f90:12:8:\n\n   12 |   print(*,*) result\n      |        1\nError: Syntax error in PRINT statement at (1)\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_41.f90
ft_ABC_Strong_humaneval_mistral_conc20,45,ok,compile_err,False,print_statement_syntax,compile_failed|print_statement_syntax,c_like_signature_or_invalid_decl,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_45.f90:13:8:\n\n   13 |   print(*,'(F6.1)') area\n      |        1\nError: Syntax error in PRINT statement at (1)\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_45.f90
ft_ABC_Strong_humaneval_mistral_conc20,49,ok,compile_err,False,invalid_operator_or_expression,compile_failed|invalid_operator_or_expression,invalid_operator_or_expression,results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_49.f90:21:7:\n\n   21 |       result = (result * 2) mod p\n      |       1\nError: Unclassifiable statement at (1)\n,results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_49.f90
ft_ABC_Strong_humaneval_mistral_conc20,50,ok,runtime_err,True,compiled_but_runtime_error,compiled_ok|runtime_error_after_compile,compile_ok,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_50.f90:5:19:\n\n    5 |   read *, input_str\n      |                   ^\nWarning: ‘.input_str’ may be used uninitialized [-Wmaybe-uninitialized]\nresults/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_50.f90:29:29:\n\n   29 |   end subroutine decode_shift\n      |                             ^\nnote: ‘.input_str’ was declared here\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_50.f90
ft_ABC_Strong_humaneval_mistral_conc20,53,ok,compile_err,False,print_parentheses_syntax,compile_failed|print_parentheses_syntax,c_like_signature_or_invalid_decl,"results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_53.f90:12:8:\n\n   12 |   print(*,*) result\n      |        1\nError: Syntax error in PRINT statement at (1)\n",results/real_compile_diagnosis_base_ok_ft_fail/work/ft_ABC_Strong_humaneval_mistral_conc20/task_53.f90
