model_key,num_cases,compiled_ok,compiled_failed,top_ft_status,top_compile_primary
ft_ABC_filtered_manual_humaneval_mistral_conc20,35,0,35,compile_err:35,empty_or_no_program:35
ft_B_then_A_humaneval_mistral_conc3,28,3,25,compile_err:25,empty_or_no_program:8
ft_ABC_Strong_humaneval_mistral_conc3,28,4,24,compile_err:24,c_like_signature_or_invalid_decl:8
ft_ABC_Strong_humaneval_mistral_conc20,24,5,19,compile_err:19,c_like_signature_or_invalid_decl:8
ft_ABC_filtered_reject_humaneval_mistral_conc20,24,5,19,compile_err:19,implicit_declaration:8
ft_C_then_A_humaneval_mistral_conc3,27,11,16,compile_err:18,compile_ok:11
ft_C_then_A_humaneval_mistral_conc20,24,9,15,compile_err:15,intent_in_modified:9
ft_B_then_A_humaneval_mistral_conc20,22,8,14,compile_err:14,compile_ok:8
ft_AB_antineighbor_humaneval_mistral_conc3,19,6,13,compile_err:13,intent_in_modified:7
ft_A_humaneval_mistral_conc3,21,8,13,compile_err:13,compile_ok:8
ft_ABC_filtered_accept_humaneval_mistral_conc20,20,8,12,compile_err:12,compile_ok:8
ft_A_ep2_humaneval_mistral_conc20,15,3,12,compile_err:12,implicit_declaration:7
ft_C_humaneval_mistral_conc3,19,7,12,compile_err:12,compile_ok:7
ft_AB_antineighbor_humaneval_mistral_conc20,18,7,11,compile_err:11,compile_ok:7
ft_AB_shuffle_humaneval_mistral_conc15,24,13,11,ineq:12,compile_ok:13
ft_AB_shuffle_humaneval_mistral_conc3,15,4,11,compile_err:11,implicit_declaration:5
ft_AC_shuffle_humaneval_mistral_conc3,18,7,11,compile_err:11,compile_ok:7
ft_AC_antineighbor_humaneval_mistral_conc20,21,11,10,compile_err:10,compile_ok:11
ft_B_humaneval_mistral_conc3,15,5,10,compile_err:9,compile_ok:5
ft_ABC_source_numericalhub_humaneval_mistral_conc20,20,11,9,ok:9,compile_ok:11
ft_A_half1_humaneval_mistral_conc20,19,10,9,compile_err:8,compile_ok:10
ft_A_half2_humaneval_mistral_conc20,20,11,9,compile_err:9,compile_ok:11
ft_B_humaneval_mistral_conc20,26,17,9,ok:13,compile_ok:17
ft_AC_antineighbor_humaneval_mistral_conc3,19,11,8,ineq:9,compile_ok:11
ft_ABC_dedup_BC_humaneval_mistral_conc20,18,11,7,ineq:7,compile_ok:11
ft_AC_shuffle_humaneval_mistral_conc20,20,13,7,ok:7,compile_ok:13
ft_C_humaneval_mistral_conc20,17,10,7,compile_err:7,compile_ok:10
ft_ABC_source_stack_v1_humaneval_mistral_conc20,16,10,6,ok:6,compile_ok:10
ft_A_humaneval_mistral_conc20,19,13,6,ok:7,compile_ok:13
ft_AB_shuffle_humaneval_mistral_conc20,16,11,5,ok:5,compile_ok:11
ft_ABC_source_stack_v2_humaneval_mistral_conc20,17,13,4,ineq:11,compile_ok:13
ft_ABC_source_burkardt_humaneval_mistral_conc20,14,11,3,ok:4,compile_ok:11
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,8,6,2,runtime_err:3,compile_ok:6
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,9,7,2,ok:4,compile_ok:7
