task_id,group,base_status,a_status_archived,transition,base_error_family,a_error_family,prompt,base_error_excerpt,a_error_excerpt
0,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that checks if in given array of numbers, are any two numbers closer to each other than given threshold.",,
1,echec_persistant,compile_err,ineq,compile_err -> ineq,compilation_non_detaillee,sortie_incorrecte,Write a Fortran90 program that separates groups of nested parentheses from the input string and returns an array of strings.,,
2,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that returns the decimal part of a given positive floating point number.,,
3,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that detects if at any point in a sequence of deposit and withdrawal operations on an account starting at zero, the balance falls below zero.",,
4,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that calculates the mean absolute deviation around the mean for a given array of numbers.,,
5,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that inserts a given delimiter between every two consecutive elements of an array of integers.,,
6,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,"Write a Fortran90 program that, given a string with multiple groups of nested parentheses separated by spaces, returns an array of integers representing the deepest level of nesting for each group.",,
7,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that filters an array of strings, returning only those that contain a given substring.",,
8,acquise,runtime_err,ok,runtime_err -> ok,runtime_non_detaillee,aucune,"Write a Fortran90 program that, given an array of integers, returns a tuple consisting of the sum and the product of all the integers.",,
9,regression,ok,runtime_err,ok -> runtime_err,aucune,runtime_non_detaillee,"Write a Fortran90 program that, given an array of integers, returns an array of rolling maximum values found until each moment in the sequence.",,
10,echec_persistant,compile_err,compile_err,compile_err -> compile_err,compilation_non_detaillee,compilation_non_detaillee,Write a Fortran90 program that finds the shortest palindrome that begins with a supplied string.,,
11,conservee,ok,ok,ok -> ok,aucune,aucune,Write a Fortran90 program that performs binary XOR on two input strings consisting only of 1s and 0s and returns the result as a string.,,
12,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, out of an array of strings, returns the longest one. In case of strings of the same length, return the first one; return None if the input array is empty.",,
13,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,Write a Fortran90 program that returns the greatest common divisor of two integers.,,
14,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that returns an array of all prefixes from shortest to longest of the input string.,,
15,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,Write a Fortran90 program that returns a string containing space‐delimited numbers starting from 0 up to n inclusive.,,
16,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that, given a string, finds out how many distinct characters (regardless of case) it consists of.",,
17,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that parses a string representing musical notes in a special ASCII format and returns an array of integers corresponding to how many beats each note lasts.,,
18,acquise,compile_err,ok,compile_err -> ok,compilation_non_detaillee,aucune,"Write a Fortran90 program that finds how many times a given substring can be found in the original string, counting overlapping occurrences.",,
19,echec_persistant,ineq,compile_err,ineq -> compile_err,sortie_incorrecte,compilation_non_detaillee,Write a Fortran90 program that takes a space‐delimited string of number words from 'zero' to 'nine' and returns the string with numbers sorted from smallest to largest.,,
20,regression,ok,compile_err,ok -> compile_err,aucune,compilation_non_detaillee,"Write a Fortran90 program that from a supplied array of numbers (of length at least two) select and return two that are the closest to each other and return them in order (smaller number, larger number).",,
21,acquise,runtime_err,ok,runtime_err -> ok,runtime_non_detaillee,aucune,"Write a Fortran90 program that given an array of numbers (of at least two elements), applies a linear transform to that array, such that the smallest number will become 0 and the largest will become 1.",,
22,echec_persistant,compile_err,runtime_err,compile_err -> runtime_err,compilation_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that filters a supplied array of values for integers only.,,
23,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,Write a Fortran90 program that returns the length of a given string.,,
24,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that for a given number n, finds the largest number that divides n evenly, smaller than n.",,
25,conservee,ok,ok,ok -> ok,aucune,aucune,"Write a Fortran90 program that returns an array of prime factors of a given integer in the order from smallest to largest, listing each factor as many times as it appears in the factorization.",,
26,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that from a supplied array of integers, removes all elements that occur more than once, keeping the order of the remaining elements the same as in the input.",,
27,echec_persistant,runtime_err,runtime_err,runtime_err -> runtime_err,runtime_non_detaillee,runtime_non_detaillee,"Write a Fortran90 program that for a given string, flips its lowercase characters to uppercase and uppercase characters to lowercase.",,
